month_start,year,month,borough,sales_count,median_sale_price
2016-01-01,2016,1,1,1489,960000.0
2016-01-01,2016,1,2,404,382000.0
2016-01-01,2016,1,3,1179,700000.0
2016-01-01,2016,1,4,1354,453250.0
2016-01-01,2016,1,5,421,410000.0
2016-02-01,2016,2,1,1345,915834.0
2016-02-01,2016,2,2,414,365350.0
2016-02-01,2016,2,3,1215,700000.0
2016-02-01,2016,2,4,1447,440000.0
2016-02-01,2016,2,5,450,413000.0
2016-03-01,2016,3,1,1598,787500.0
2016-03-01,2016,3,2,477,400000.0
2016-03-01,2016,3,3,1340,680000.0
2016-03-01,2016,3,4,1595,420000.0
2016-03-01,2016,3,5,449,399000.0
2016-04-01,2016,4,1,1326,899500.0
2016-04-01,2016,4,2,428,390000.0
2016-04-01,2016,4,3,1127,659000.0
2016-04-01,2016,4,4,1321,440000.0
2016-04-01,2016,4,5,467,397000.0
2016-05-01,2016,5,1,1467,1100000.0
2016-05-01,2016,5,2,415,370000.0
2016-05-01,2016,5,3,1318,692575.0
2016-05-01,2016,5,4,1495,456300.0
2016-05-01,2016,5,5,422,399000.0
2016-06-01,2016,6,1,1721,952063.0
2016-06-01,2016,6,2,525,375000.0
2016-06-01,2016,6,3,1530,700000.0
2016-06-01,2016,6,4,1621,450000.0
2016-06-01,2016,6,5,593,415000.0
2016-07-01,2016,7,1,1589,850000.0
2016-07-01,2016,7,2,413,380000.0
2016-07-01,2016,7,3,1261,715000.0
2016-07-01,2016,7,4,1432,460000.0
2016-07-01,2016,7,5,544,430000.0
2016-08-01,2016,8,1,1503,976501.0
2016-08-01,2016,8,2,428,366250.0
2016-08-01,2016,8,3,1478,700000.0
2016-08-01,2016,8,4,1804,463000.0
2016-08-01,2016,8,5,675,435000.0
2016-09-01,2016,9,1,1341,979000.0
2016-09-01,2016,9,2,473,380000.0
2016-09-01,2016,9,3,1443,730000.0
2016-09-01,2016,9,4,1613,466000.0
2016-09-01,2016,9,5,591,447500.0
2016-10-01,2016,10,1,1058,1036250.0
2016-10-01,2016,10,2,421,385000.0
2016-10-01,2016,10,3,1112,725000.0
2016-10-01,2016,10,4,1487,493500.0
2016-10-01,2016,10,5,494,460000.0
2016-11-01,2016,11,1,1033,1076000.0
2016-11-01,2016,11,2,405,405000.0
2016-11-01,2016,11,3,1209,721640.0
2016-11-01,2016,11,4,1573,479500.0
2016-11-01,2016,11,5,530,456250.0
2016-12-01,2016,12,1,1240,1150000.0
2016-12-01,2016,12,2,453,400000.0
2016-12-01,2016,12,3,1426,734500.0
2016-12-01,2016,12,4,1677,480000.0
2016-12-01,2016,12,5,536,450000.0
2017-01-01,2017,1,1,1234,1197000.0
2017-01-01,2017,1,2,385,380000.0
2017-01-01,2017,1,3,1284,740000.0
2017-01-01,2017,1,4,1475,478000.0
2017-01-01,2017,1,5,526,450000.0
2017-02-01,2017,2,1,1057,1049490.0
2017-02-01,2017,2,2,403,392000.0
2017-02-01,2017,2,3,1200,761843.5
2017-02-01,2017,2,4,1350,469387.5
